uid,file_name,x0,y0,x1,y1,family,genus,species
24,A000001_R.avi.5389.png,1740,535,1822,596,Pomacentridae,Dascyllus,reticulatus
25,A000001_L.avi.5636.png,1088,762,1167,815,Pomacentridae,Dascyllus,reticulatus
26,A000001_R.avi.5431.png,1316,770,1398,825,Pomacentridae,Dascyllus,reticulatus
27,A000001_L.avi.5636.png,850,989,899,1054,Pomacentridae,Dascyllus,reticulatus
28,A000001_R.avi.5431.png,1120,985,1176,1043,Pomacentridae,Dascyllus,reticulatus
29,A000001_L.avi.5665.png,1267,705,1337,751,Pomacentridae,Dascyllus,reticulatus
33,A000001_L.avi.5781.png,1063,809,1121,864,Pomacentridae,Dascyllus,reticulatus
35,A000001_L.avi.5884.png,542,663,636,727,Acanthuridae,Zebrasoma,scopas
36,A000001_R.avi.5679.png,1107,641,1203,705,Acanthuridae,Zebrasoma,scopas
37,A000001_L.avi.5884.png,383,753,463,832,Acanthuridae,Zebrasoma,scopas
38,A000001_R.avi.5679.png,992,722,1073,790,Acanthuridae,Zebrasoma,scopas
39,A000001_L.avi.6010.png,1114,329,1247,429,Labridae,Oxycheilinus,digrammus
40,A000001_R.avi.5805.png,1476,303,1619,416,Labridae,Oxycheilinus,digrammus
41,A000001_L.avi.6226.png,830,869,949,948,Labridae,Oxycheilinus,digrammus
42,A000001_R.avi.6021.png,1172,863,1304,951,Labridae,Oxycheilinus,digrammus
43,A000001_L.avi.6847.png,956,750,995,832,Pomacentridae,Pomacentrus,coelestis
46,A000001_R.avi.6648.png,590,887,671,941,Pomacentridae,Chromis,weberi
51,A000001_L.avi.6887.png,1174,645,1250,700,Pomacentridae,Pomacentrus,coelestis
52,A000001_R.avi.6682.png,1510,657,1587,712,Pomacentridae,Pomacentrus,coelestis
53,A000001_L.avi.6887.png,1040,692,1103,764,Pomacentridae,Pomacentrus,coelestis
54,A000001_R.avi.6682.png,1397,706,1464,771,Pomacentridae,Pomacentrus,coelestis
55,A000001_L.avi.6895.png,709,940,775,994,Pomacentridae,Pomacentrus,coelestis
56,A000001_R.avi.6690.png,1072,920,1125,979,Pomacentridae,Pomacentrus,coelestis
57,A000001_L.avi.6895.png,718,921,794,971,Pomacentridae,Pomacentrus,coelestis
58,A000001_R.avi.6690.png,1103,904,1181,955,Pomacentridae,Pomacentrus,coelestis
59,A000001_L.avi.6965.png,1357,310,1458,377,Pomacentridae,Chromis,weberi
60,A000001_R.avi.6760.png,1717,277,1833,354,Pomacentridae,Chromis,weberi
61,A000001_L.avi.7145.png,784,1031,875,1091,Pomacentridae,Pomacentrus,coelestis
62,A000001_R.avi.6940.png,1074,1019,1155,1073,Pomacentridae,Pomacentrus,coelestis
63,A000001_L.avi.7145.png,708,978,768,1038,Pomacentridae,Pomacentrus,coelestis
64,A000001_R.avi.6940.png,1092,963,1163,1010,Pomacentridae,Pomacentrus,coelestis
65,A000001_L.avi.7145.png,828,856,895,908,Pomacentridae,Pomacentrus,coelestis
66,A000001_R.avi.6940.png,1195,852,1264,907,Pomacentridae,Pomacentrus,coelestis
67,A000001_L.avi.7318.png,765,746,906,841,Serranidae,Epinephelus,fasciatus
68,A000001_R.avi.7113.png,1263,747,1399,838,Serranidae,Epinephelus,fasciatus
69,A000001_L.avi.7335.png,1307,723,1471,831,Mullidae,Parupeneus,multifasciatus
70,A000001_R.avi.7130.png,1468,749,1642,865,Mullidae,Parupeneus,multifasciatus
71,A000001_L.avi.7355.png,1337,544,1478,638,Mullidae,Parupeneus,multifasciatus
72,A000001_R.avi.7150.png,1638,541,1812,657,Mullidae,Parupeneus,multifasciatus
73,A000001_L.avi.7464.png,1247,514,1419,628,Acanthuridae,Ctenochaetus,striatus
74,A000001_R.avi.7259.png,1585,516,1773,641,Acanthuridae,Ctenochaetus,striatus
75,A000001_L.avi.7649.png,550,808,651,894,Balistidae,Balistapus,undulatus
76,A000001_R.avi.7444.png,1088,782,1189,865,Balistidae,Balistapus,undulatus
77,A000001_L.avi.7723.png,762,701,817,802,Balistidae,Sufflamen,chrysopterum
78,A000001_R.avi.7518.png,1315,696,1374,800,Balistidae,Sufflamen,chrysopterum
80,A000001_R.avi.8799.png,1029,858,1171,953,Pomacanthidae,Apolemichthys,trimaculatus
81,A000001_L.avi.9005.png,1023,660,1095,739,Pomacanthidae,Apolemichthys,trimaculatus
82,A000001_R.avi.8800.png,1371,665,1469,738,Pomacanthidae,Apolemichthys,trimaculatus
85,A000001_L.avi.12063.png,567,271,836,451,Acanthuridae,Naso,vlamingii
87,A000001_L.avi.12898.png,657,346,952,619,Carangidae,Caranx,melampygus
88,A000001_R.avi.12693.png,934,338,1271,600,Carangidae,Caranx,melampygus
89,A000001_L.avi.12920.png,717,339,1035,624,Carangidae,Caranx,melampygus
91,A000001_L.avi.17418.png,134,56,412,242,Kyphosidae,Kyphosus,cinerascens
92,A000001_R.avi.17213.png,542,76,807,252,Kyphosidae,Kyphosus,cinerascens
93,A000001_L.avi.17460.png,658,211,808,380,Kyphosidae,Kyphosus,cinerascens
94,A000001_R.avi.17255.png,1168,195,1329,367,Kyphosidae,Kyphosus,cinerascens
95,A000001_L.avi.20095.png,1094,440,1211,519,Serranidae,Variola,albimarginata
96,A000001_R.avi.19890.png,1685,420,1837,522,Serranidae,Variola,albimarginata
98,A000001_R.avi.19916.png,1443,214,1546,282,Acanthuridae,Naso,hexacanthus
99,A000001_L.avi.20181.png,865,89,1118,258,Acanthuridae,Naso,hexacanthus
101,A000001_L.avi.20220.png,1103,421,1264,527,Serranidae,Variola,albimarginata
102,A000001_R.avi.20015.png,1700,405,1880,526,Serranidae,Variola,albimarginata
103,A000001_L.avi.20261.png,1075,329,1267,561,Acanthuridae,Naso,hexacanthus
104,A000001_R.avi.20056.png,1526,311,1774,559,Acanthuridae,Naso,hexacanthus
105,A000001_L.avi.24977.png,291,151,433,245,Lutjanidae,Macolor,macularis
106,A000001_R.avi.24772.png,1014,157,1140,241,Lutjanidae,Macolor,macularis
107,A000001_L.avi.25075.png,537,184,651,270,Lutjanidae,Macolor,macularis
108,A000001_R.avi.24870.png,1252,166,1364,258,Lutjanidae,Macolor,macularis
109,A000001_L.avi.25095.png,292,0,523,153,Lutjanidae,Macolor,macularis
110,A000001_R.avi.24890.png,904,7,1112,145,Lutjanidae,Macolor,macularis
111,A000001_L.avi.26409.png,337,628,485,726,Serranidae,Aethaloperca,rogaa
112,A000001_R.avi.26204.png,958,601,1094,692,Serranidae,Aethaloperca,rogaa
113,A000001_L.avi.26470.png,885,297,1011,382,Serranidae,Aethaloperca,rogaa
114,A000001_R.avi.26265.png,1493,268,1640,366,Serranidae,Aethaloperca,rogaa
115,A000001_L.avi.34946.png,241,14,386,111,Caesionidae,Caesio,teres
116,A000001_R.avi.34741.png,757,32,883,116,Caesionidae,Caesio,teres
117,A000001_L.avi.34946.png,336,34,452,111,Caesionidae,Caesio,teres
118,A000001_R.avi.34741.png,889,36,981,119,Caesionidae,Caesio,teres
119,A000001_L.avi.34946.png,247,147,347,222,Caesionidae,Caesio,teres
120,A000001_R.avi.34741.png,827,151,907,221,Caesionidae,Caesio,teres
122,A000001_R.avi.38565.png,1540,565,1670,656,Lutjanidae,Lutjanus,bohar
123,A000001_L.avi.38799.png,538,355,982,765,Lutjanidae,Lutjanus,bohar
124,A000001_R.avi.38594.png,581,346,934,728,Lutjanidae,Lutjanus,bohar
125,A000001_L.avi.38841.png,1343,475,1583,635,Lutjanidae,Lutjanus,bohar
126,A000001_R.avi.38636.png,1352,418,1740,677,Lutjanidae,Lutjanus,bohar
127,A000001_L.avi.38871.png,620,577,974,891,Lutjanidae,Lutjanus,bohar
128,A000001_R.avi.38666.png,884,573,1237,859,Lutjanidae,Lutjanus,bohar
129,A000001_L.avi.38899.png,777,567,1054,752,Lutjanidae,Lutjanus,bohar
130,A000001_R.avi.38694.png,1150,545,1476,763,Lutjanidae,Lutjanus,bohar
131,A000001_L.avi.38942.png,483,265,864,725,Lutjanidae,Lutjanus,bohar
132,A000001_R.avi.38737.png,601,251,994,679,Lutjanidae,Lutjanus,bohar
133,A000001_L.avi.38942.png,816,289,942,643,Lutjanidae,Lutjanus,bohar
134,A000001_R.avi.38737.png,1130,264,1248,628,Lutjanidae,Lutjanus,bohar
135,A000001_L.avi.38951.png,904,635,1018,762,Lutjanidae,Lutjanus,bohar
136,A000001_R.avi.38746.png,1330,651,1504,766,Lutjanidae,Lutjanus,bohar
137,A000001_L.avi.38983.png,472,430,641,543,Lutjanidae,Lutjanus,bohar
138,A000001_R.avi.38778.png,975,405,1167,533,Lutjanidae,Lutjanus,bohar
139,A000001_L.avi.38990.png,679,336,1071,597,Lutjanidae,Lutjanus,bohar
140,A000001_R.avi.38785.png,995,312,1415,592,Lutjanidae,Lutjanus,bohar
141,A000001_L.avi.39011.png,830,731,1017,933,Lutjanidae,Lutjanus,bohar
143,A000001_L.avi.39053.png,768,268,1159,529,Lutjanidae,Lutjanus,bohar
144,A000001_R.avi.38848.png,827,218,1324,549,Lutjanidae,Lutjanus,bohar
145,A000001_L.avi.39064.png,253,703,381,788,Lutjanidae,Lutjanus,bohar
146,A000001_R.avi.38859.png,947,669,1071,751,Lutjanidae,Lutjanus,bohar
147,A000001_L.avi.39069.png,391,492,511,572,Lutjanidae,Lutjanus,bohar
149,A000001_L.avi.39079.png,522,773,657,922,Lutjanidae,Lutjanus,bohar
150,A000001_R.avi.38874.png,1010,759,1181,889,Lutjanidae,Lutjanus,bohar
152,A000001_R.avi.40439.png,1489,934,1589,1000,Labridae,Labroides,dimidiatus
153,A000001_L.avi.40652.png,1565,887,1687,968,Labridae,Labroides,dimidiatus
154,A000001_R.avi.40447.png,1379,931,1533,1034,Labridae,Labroides,dimidiatus
156,A000001_R.avi.44014.png,1300,599,1637,823,Lutjanidae,Lutjanus,gibbus
157,A000001_L.avi.44226.png,1063,386,1275,577,Lutjanidae,Lutjanus,gibbus
158,A000001_R.avi.44021.png,1490,374,1756,572,Lutjanidae,Lutjanus,gibbus
159,A000001_L.avi.44292.png,509,667,695,810,Lutjanidae,Lutjanus,gibbus
160,A000001_R.avi.44087.png,875,639,1083,778,Lutjanidae,Lutjanus,gibbus
161,A000001_L.avi.45695.png,786,77,859,158,Carangidae,Alepes,vari
162,A000001_R.avi.45490.png,1413,53,1511,127,Carangidae,Alepes,vari
163,A000001_L.avi.45779.png,256,65,447,193,Carangidae,Alepes,vari
164,A000001_R.avi.45574.png,610,67,840,219,Carangidae,Alepes,vari
165,A000001_L.avi.45785.png,41,420,156,497,Carangidae,Alepes,vari
166,A000001_R.avi.45580.png,526,391,670,487,Carangidae,Alepes,vari
167,A000001_L.avi.45806.png,197,181,388,308,Carangidae,Alepes,vari
168,A000001_R.avi.45601.png,617,183,826,322,Carangidae,Alepes,vari
169,A000001_L.avi.45806.png,270,267,445,384,Carangidae,Alepes,vari
170,A000001_R.avi.45601.png,746,259,927,379,Carangidae,Alepes,vari
171,A000001_L.avi.45806.png,85,376,286,509,Carangidae,Alepes,vari
172,A000001_R.avi.45601.png,496,350,722,500,Carangidae,Alepes,vari
173,A000001_L.avi.45828.png,35,507,196,615,Carangidae,Alepes,vari
174,A000001_R.avi.45623.png,614,473,777,582,Carangidae,Alepes,vari
175,A000001_L.avi.45836.png,415,416,510,480,Carangidae,Alepes,vari
176,A000001_R.avi.45631.png,1019,398,1124,468,Carangidae,Alepes,vari
177,A000001_L.avi.45836.png,306,491,433,575,Carangidae,Alepes,vari
178,A000001_R.avi.45631.png,861,467,997,558,Carangidae,Alepes,vari
179,A000001_L.avi.45836.png,185,381,378,510,Carangidae,Alepes,vari
180,A000001_R.avi.45631.png,671,367,863,495,Carangidae,Alepes,vari
181,A000001_L.avi.47592.png,486,382,600,489,Scaridae,Chlorurus,microrhinos
182,A000001_R.avi.47387.png,1097,371,1209,473,Scaridae,Chlorurus,microrhinos
185,A000001_L.avi.49910.png,1039,285,1280,445,Pomacanthidae,Pomacanthus,imperator
186,A000001_R.avi.49705.png,1361,258,1619,430,Pomacanthidae,Pomacanthus,imperator
189,A000001_L.avi.54320.png,744,310,890,407,Serranidae,Variola,louti
190,A000001_R.avi.54115.png,1422,290,1574,392,Serranidae,Variola,louti
191,A000001_L.avi.54906.png,959,423,1081,524,Labridae,Hologymnosus,doliatus
192,A000001_R.avi.54701.png,1519,411,1663,507,Labridae,Hologymnosus,doliatus
193,A000001_L.avi.55895.png,1087,489,1144,572,Labridae,Thalassoma,lunare
196,A000001_R.avi.55735.png,1082,757,1150,826,Labridae,Thalassoma,lunare
197,A000001_L.avi.55962.png,792,549,875,604,Labridae,Thalassoma,lunare
198,A000001_R.avi.55757.png,1352,543,1435,598,Labridae,Thalassoma,lunare
199,A000001_L.avi.55986.png,795,671,873,729,Labridae,Thalassoma,lunare
200,A000001_R.avi.55781.png,1352,672,1432,726,Labridae,Thalassoma,lunare
201,A000001_L.avi.56423.png,744,587,878,676,Serranidae,Cephalopholis,urodeta
202,A000001_R.avi.56218.png,1340,579,1474,669,Serranidae,Cephalopholis,urodeta
203,A000001_L.avi.57604.png,1102,535,1243,629,Lethrinidae,Lethrinus,atkinsoni
204,A000001_R.avi.57399.png,1595,542,1731,633,Lethrinidae,Lethrinus,atkinsoni
207,A000001_L.avi.57799.png,1480,733,1715,930,Lethrinidae,Lethrinus,atkinsoni
208,A000001_R.avi.57594.png,1618,779,1909,988,Lethrinidae,Lethrinus,atkinsoni
209,A000001_L.avi.57810.png,591,798,734,894,Lethrinidae,Lethrinus,atkinsoni
211,A000001_L.avi.57821.png,1159,450,1279,530,Lethrinidae,Lethrinus,atkinsoni
212,A000001_R.avi.57616.png,1662,446,1765,514,Lethrinidae,Lethrinus,atkinsoni
213,A000001_L.avi.57857.png,437,764,563,884,Lethrinidae,Lethrinus,atkinsoni
214,A000001_R.avi.57652.png,984,739,1104,845,Lethrinidae,Lethrinus,atkinsoni
216,A000001_R.avi.57669.png,1356,658,1594,817,Lethrinidae,Lethrinus,atkinsoni
217,A000001_L.avi.57878.png,726,781,833,899,Lethrinidae,Lethrinus,atkinsoni
218,A000001_R.avi.57673.png,1179,778,1306,885,Lethrinidae,Lethrinus,atkinsoni
219,A000001_L.avi.57901.png,845,685,965,798,Lethrinidae,Lethrinus,atkinsoni
220,A000001_R.avi.57696.png,1291,679,1436,791,Lethrinidae,Lethrinus,atkinsoni
221,A000001_L.avi.58019.png,1392,371,1600,509,Lethrinidae,Lethrinus,atkinsoni
222,A000001_R.avi.57814.png,1639,385,1764,469,Lethrinidae,Lethrinus,atkinsoni
223,A000001_L.avi.58127.png,1240,491,1394,631,Lethrinidae,Lethrinus,atkinsoni
224,A000001_R.avi.57922.png,1623,489,1817,626,Lethrinidae,Lethrinus,atkinsoni
225,A000001_L.avi.59851.png,1351,166,1407,295,Labridae,Thalassoma,amblycephalum
226,A000001_R.avi.59646.png,1640,127,1708,263,Labridae,Thalassoma,amblycephalum
227,A000001_L.avi.59856.png,1094,648,1185,708,Labridae,Thalassoma,amblycephalum
228,A000001_R.avi.59651.png,1319,651,1424,721,Labridae,Thalassoma,amblycephalum
229,A000001_L.avi.59892.png,1225,412,1307,496,Labridae,Thalassoma,amblycephalum
231,A000001_L.avi.59892.png,1246,464,1341,527,Labridae,Thalassoma,amblycephalum
233,A000001_L.avi.59894.png,1260,453,1361,521,Labridae,Thalassoma,amblycephalum
234,A000001_R.avi.59689.png,1508,440,1583,505,Labridae,Thalassoma,amblycephalum
235,A000001_L.avi.59898.png,1066,590,1120,688,Labridae,Thalassoma,amblycephalum
236,A000001_R.avi.59693.png,1380,593,1444,692,Labridae,Thalassoma,amblycephalum
237,A000001_L.avi.59905.png,1416,413,1515,479,Labridae,Thalassoma,amblycephalum
238,A000001_R.avi.59700.png,1736,393,1846,466,Labridae,Thalassoma,amblycephalum
239,A000001_L.avi.59919.png,1405,321,1499,384,Labridae,Thalassoma,amblycephalum
240,A000001_R.avi.59714.png,1755,286,1867,360,Labridae,Thalassoma,amblycephalum
242,A000001_R.avi.59926.png,1546,522,1671,605,Labridae,Cirrhilabrus,temminckii
243,A000001_L.avi.60145.png,879,424,979,491,Labridae,Cirrhilabrus,exquisitus
244,A000001_R.avi.59940.png,1197,414,1294,479,Labridae,Cirrhilabrus,exquisitus
245,A000001_L.avi.60145.png,569,730,666,798,Labridae,Cirrhilabrus,exquisitus
246,A000001_R.avi.59940.png,794,704,883,763,Labridae,Cirrhilabrus,exquisitus
247,A000001_L.avi.60145.png,404,827,494,888,Labridae,Cirrhilabrus,exquisitus
248,A000001_R.avi.59940.png,809,784,897,843,Labridae,Cirrhilabrus,exquisitus
249,A000001_L.avi.60145.png,741,595,778,686,Labridae,Cirrhilabrus,exquisitus
250,A000001_R.avi.59940.png,926,589,997,663,Labridae,Cirrhilabrus,exquisitus
251,A000001_L.avi.60145.png,1061,619,1104,719,Labridae,Cirrhilabrus,exquisitus
252,A000001_R.avi.59940.png,1289,630,1343,725,Labridae,Cirrhilabrus,exquisitus
253,A000001_L.avi.60145.png,887,260,890,352,Labridae,Cirrhilabrus,exquisitus
254,A000001_R.avi.59940.png,1370,246,1381,335,Labridae,Cirrhilabrus,exquisitus
255,A000001_L.avi.60145.png,931,126,947,207,Labridae,Cirrhilabrus,exquisitus
256,A000001_R.avi.59940.png,1305,104,1324,185,Labridae,Cirrhilabrus,exquisitus
257,A000001_L.avi.60145.png,906,522,988,577,Labridae,Cirrhilabrus,exquisitus
258,A000001_R.avi.59940.png,1360,509,1440,563,Labridae,Cirrhilabrus,exquisitus
259,A000001_L.avi.60145.png,1308,407,1401,469,Labridae,Cirrhilabrus,exquisitus
260,A000001_R.avi.59940.png,1692,396,1779,454,Labridae,Cirrhilabrus,exquisitus
261,A000001_L.avi.60155.png,1247,448,1340,511,Labridae,Cirrhilabrus,temminckii
262,A000001_R.avi.59950.png,1560,437,1655,501,Labridae,Cirrhilabrus,temminckii
263,A000001_L.avi.60166.png,1153,608,1269,685,Labridae,Cirrhilabrus,temminckii
264,A000001_R.avi.59961.png,1273,608,1387,684,Labridae,Cirrhilabrus,temminckii
265,A000001_L.avi.60178.png,745,822,858,897,Labridae,Cirrhilabrus,exquisitus
266,A000001_R.avi.59973.png,953,800,1061,872,Labridae,Cirrhilabrus,exquisitus
267,A000001_L.avi.60178.png,1399,494,1496,559,Labridae,Cirrhilabrus,exquisitus
268,A000001_R.avi.59973.png,1693,496,1794,563,Labridae,Cirrhilabrus,exquisitus
269,A000001_L.avi.60178.png,1160,583,1187,674,Labridae,Cirrhilabrus,exquisitus
270,A000001_R.avi.59973.png,1307,590,1357,677,Labridae,Cirrhilabrus,exquisitus
271,A000001_L.avi.60178.png,987,286,1058,341,Labridae,Cirrhilabrus,exquisitus
272,A000001_R.avi.59973.png,1232,265,1287,326,Labridae,Cirrhilabrus,exquisitus
273,A000001_L.avi.60178.png,735,614,824,673,Labridae,Cirrhilabrus,exquisitus
274,A000001_R.avi.59973.png,1021,595,1113,656,Labridae,Cirrhilabrus,exquisitus
275,A000001_L.avi.60178.png,1267,305,1341,354,Labridae,Cirrhilabrus,exquisitus
276,A000001_R.avi.59973.png,1710,272,1777,327,Labridae,Cirrhilabrus,exquisitus
277,A000001_L.avi.60204.png,1076,603,1192,681,Labridae,Cirrhilabrus,exquisitus
278,A000001_R.avi.59999.png,1238,603,1350,677,Labridae,Cirrhilabrus,exquisitus
279,A000001_L.avi.60204.png,914,786,942,878,Labridae,Cirrhilabrus,exquisitus
280,A000001_R.avi.59999.png,1146,777,1195,870,Labridae,Cirrhilabrus,exquisitus
281,A000001_L.avi.60206.png,1040,652,1115,730,Labridae,Cirrhilabrus,exquisitus
282,A000001_R.avi.60001.png,1259,652,1334,730,Labridae,Cirrhilabrus,exquisitus
283,A000001_L.avi.60206.png,842,777,945,845,Labridae,Cirrhilabrus,exquisitus
284,A000001_R.avi.60001.png,1048,766,1149,833,Labridae,Cirrhilabrus,exquisitus
286,A000001_R.avi.60002.png,1239,591,1331,652,Labridae,Cirrhilabrus,exquisitus
288,A000001_R.avi.62194.png,1650,440,1832,562,Acanthuridae,Acanthurus,grammoptilus
290,A000001_R.avi.63210.png,1167,558,1309,688,Lethrinidae,Lethrinus,rubrioperculatus
291,A000001_L.avi.64414.png,13,576,165,677,Carangidae,Decapterus,macarellus
292,A000001_R.avi.64209.png,577,545,720,641,Carangidae,Decapterus,macarellus
293,A000001_L.avi.64439.png,170,43,399,196,Carangidae,Decapterus,macarellus
294,A000001_R.avi.64234.png,537,63,772,220,Carangidae,Decapterus,macarellus
295,A000001_L.avi.65494.png,34,40,165,168,Balistidae,Pseudobalistes,flavimarginatus
296,A000001_R.avi.65289.png,695,75,814,197,Balistidae,Pseudobalistes,flavimarginatus
297,A000001_L.avi.69729.png,582,385,1014,728,Carcharhinidae,Triaenodon,obesus
298,A000001_R.avi.69524.png,876,375,1355,695,Carcharhinidae,Triaenodon,obesus
303,A000001_L.avi.77859.png,639,223,770,330,Acanthuridae,Naso,brevirostris
304,A000001_R.avi.77654.png,1156,198,1253,320,Acanthuridae,Naso,brevirostris
305,A000001_L.avi.77859.png,511,64,705,213,Acanthuridae,Naso,brevirostris
306,A000001_R.avi.77654.png,963,52,1127,209,Acanthuridae,Naso,brevirostris
307,A000001_L.avi.77914.png,597,106,689,226,Acanthuridae,Naso,brevirostris
308,A000001_R.avi.77709.png,1118,83,1177,218,Acanthuridae,Naso,brevirostris
309,A000001_L.avi.78019.png,430,119,580,278,Acanthuridae,Naso,brevirostris
310,A000001_R.avi.77814.png,877,110,969,274,Acanthuridae,Naso,brevirostris
311,A000001_L.avi.78019.png,132,228,264,376,Acanthuridae,Naso,brevirostris
312,A000001_R.avi.77814.png,674,226,764,373,Acanthuridae,Naso,brevirostris
313,A000001_L.avi.78159.png,454,133,577,287,Acanthuridae,Naso,brevirostris
314,A000001_R.avi.77954.png,947,125,1043,281,Acanthuridae,Naso,brevirostris
315,A000001_L.avi.79099.png,418,797,531,875,Acanthuridae,Naso,lituratus
316,A000001_R.avi.78894.png,974,764,1077,833,Acanthuridae,Naso,lituratus
317,A000001_L.avi.79789.png,970,438,1249,665,Lutjanidae,Lutjanus,rivulatus
318,A000001_R.avi.79584.png,1334,419,1661,656,Lutjanidae,Lutjanus,rivulatus
321,A000002_L.avi.5365.png,222,754,303,808,Pomacentridae,Pomacentrus,coelestis
322,A000002_R.avi.5685.png,698,662,772,711,Pomacentridae,Pomacentrus,coelestis
324,A000002_R.avi.6950.png,1187,429,1281,492,Balistidae,Sufflamen,chrysopterum
325,A000002_L.avi.6894.png,387,784,470,840,Labridae,Cirrhilabrus,morrisoni
333,A000002_L.avi.7718.png,799,556,956,661,Pomacanthidae,Apolemichthys,trimaculatus
334,A000002_R.avi.8038.png,1301,478,1455,580,Pomacanthidae,Apolemichthys,trimaculatus
335,A000002_L.avi.7743.png,1106,553,1234,638,Pomacanthidae,Apolemichthys,trimaculatus
336,A000002_R.avi.8063.png,1665,465,1806,559,Pomacanthidae,Apolemichthys,trimaculatus
337,A000002_L.avi.7791.png,78,476,223,572,Acanthuridae,Acanthurus,olivaceus
338,A000002_R.avi.8111.png,794,417,922,502,Acanthuridae,Acanthurus,olivaceus
339,A000002_L.avi.7826.png,496,479,600,548,Chaetodontidae,Chaetodon,kleinii
340,A000002_R.avi.8146.png,1171,400,1270,466,Chaetodontidae,Chaetodon,kleinii
341,A000002_L.avi.7845.png,652,517,778,601,Acanthuridae,Acanthurus,olivaceus
344,A000002_R.avi.8182.png,1264,483,1368,558,Acanthuridae,Acanthurus,olivaceus
345,A000002_L.avi.7921.png,422,583,556,672,Acanthuridae,Acanthurus,olivaceus
348,A000002_R.avi.8250.png,1396,478,1528,565,Acanthuridae,Acanthurus,olivaceus
349,A000002_L.avi.7944.png,325,527,459,616,Acanthuridae,Acanthurus,grammoptilus
350,A000002_R.avi.8264.png,966,456,1087,536,Acanthuridae,Acanthurus,grammoptilus
351,A000002_L.avi.8150.png,806,19,1433,437,Carangidae,Caranx,melampygus
355,A000002_L.avi.19113.png,323,322,459,413,Scaridae,Chlorurus,capistratoides
357,A000002_L.avi.19127.png,529,356,654,440,Scaridae,Chlorurus,capistratoides
358,A000002_R.avi.19447.png,1184,283,1295,358,Scaridae,Chlorurus,capistratoides
359,A000002_L.avi.19127.png,502,395,638,485,Scaridae,Chlorurus,capistratoides
360,A000002_R.avi.19447.png,1182,318,1320,410,Scaridae,Chlorurus,capistratoides
361,A000002_L.avi.25847.png,106,526,299,655,Labridae,Hologymnosus,doliatus
363,A000002_L.avi.25927.png,417,433,652,590,Labridae,Hologymnosus,doliatus
364,A000002_R.avi.26247.png,922,363,1163,524,Labridae,Hologymnosus,doliatus
365,A000002_L.avi.33312.png,1378,907,1728,1140,Lethrinidae,Lethrinus,rubrioperculatus
367,A000002_L.avi.33342.png,1090,706,1378,898,Lethrinidae,Lethrinus,rubrioperculatus
369,A000002_L.avi.33357.png,855,591,1698,1152,Lethrinidae,Lethrinus,rubrioperculatus
370,A000002_R.avi.33677.png,71,591,683,999,Lethrinidae,Lethrinus,rubrioperculatus
371,A000002_L.avi.33366.png,546,527,1019,843,Lethrinidae,Lethrinus,rubrioperculatus
374,A000002_R.avi.34137.png,43,444,662,857,Echeneidae,Echeneis,naucrates
375,A000002_L.avi.36127.png,509,315,1512,984,Carcharhinidae,Triaenodon,obesus
376,A000002_R.avi.36447.png,641,175,1807,952,Carcharhinidae,Triaenodon,obesus
377,A000002_L.avi.36748.png,72,459,1252,1245,Carcharhinidae,Triaenodon,obesus
379,A000002_L.avi.39489.png,583,441,710,526,Nemipteridae,Scolopsis,xenochrous
